Tax Category,Canada,Italy
Tax revenue,33.2,43.3
Tax on personal income,12.1,11.2
Tax on Corprate Profit,3.9,1.92
Social security contributions,4.758,13.506
Tax on payroll,0.754,0
Tax on property,3.962,2.543
Tax on goods and services,7.307,12.159
Tax wedge,31.863,45.893
